DateTime,AirportDistance,AltAGL,AltMSL Lag Diff,amp1,amp2,AOASimple,CAS,Coordination Index,E1 CHT Divergence,E1 CHT1,E1 CHT2,E1 CHT3,E1 CHT4,E1 EGT Divergence,E1 EGT1,E1 EGT2,E1 EGT3,E1 EGT4,E1 FFlow,E1 OilP,E1 OilT,E1 RPM,FQtyL,FQtyR,GndSpd,HAL,HDG,HPLfd,IAS,LatAc,LOC-I Index,NAV1,NAV2,NormAc,OAT,Pitch,Roll,RunwayDistance,Stall Index,TAS,Total Fuel,TRK,volt1,volt2,VPLwas,VSpd,VSpd Calculated,VSpdG
15412,10000,201,-67.6,0.5,0.1,3.810827842,63.5,45.64025895,5.05,289.74,291.19,286.14,290.35,25.36,1155.8,1172.13,1146.77,1163.69,6.72,67.37,165.69,1750.9,17.68,21.67,57.48,1852,131.5,19,61.19,0.01,0.115951446,116.2,114.3,0.04,22,-0.47,-1.9,500,0.254055189,63,39.35,130,28,28,16,-241.98,-480,-346.5
1875,1647.155413,15,-86.2,2,0.1,7.243605415,61.316,42.10366667,26.94,302.21,275.27,294.52,295.26,48.7,1199.03,1169.28,1217.98,1169.46,3.77,51.45,180.91,1488,14.03,17.65,63.04,3704,210.4,12.5,58.07,0,0.203321565,109.2,110.1,0.03,28.5,2.81,0.29,0.663831374,0.482907028,60,31.68,209.8,28.1,28.1,14,-321.78,-480,-311
1143,10000,525,-97.9,2.2,0.1,2.723409859,69.17,100,26.45,324.59,302.79,315.59,329.24,22.55,1156.38,1175.95,1178.93,1175.25,2.97,48.86,186.35,1382.3,14.52,18.53,73.09,3704,271.7,14.5,69.29,0.01,0.181560657,109.2,110.1,0.07,27,-0.96,-22.76,500,0.181560657,72,33.05,279.1,28.1,28.1,14,-505.78,-450,-503.9
918,10000,368,45.4,2.2,0.1,3.981090019,72.61,88.0913039,17.94,335.93,317.99,329.4,326.27,32.46,1271,1300.33,1289.86,1303.46,15.4,60.23,181.95,2423.2,13.66,19.57,73.98,3704,213.6,13.5,72.61,0.01,0.233799607,109.2,110.1,0.01,28.8,5.15,0.35,500,0.265406001,75,33.23,212.3,28.1,28.1,14,232.59,150,196.9
16093,1121.166675,265,114.8,0.5,0.1,2.474617311,65.789,16.78997661,7.02,281.85,283.47,279.3,276.45,57.36,1224.02,1264.28,1206.92,1224.64,15.73,72.67,162.64,2383,17.92,18.21,61.62,1852,135,16.5,64.46,-0.03,0.027699178,116.2,114.3,-0.08,22,8.16,1.6,48.41434598,0.164974487,67,36.13,136.8,28,28,16,512.33,660,586.6
16426,10000,595,126.9,1.1,0,6.223737208,75.47,100,12.13,312.08,317.7,311.21,305.57,61.21,1245.51,1286.65,1225.44,1241.38,15.64,71.97,162.28,2410.7,16.84,17.9,73.96,1852,118.1,18.5,75.47,0.06,0.414915814,116.2,114.3,0.12,21.5,10.05,-23.53,500,0.414915814,78,34.74,116.1,28,28,17,423.88,510,586.6
16761,10000,433,125.5,0.9,0.1,3.453080742,78.54,30.27197934,12.56,307.36,314.87,305.92,302.31,65.75,1243.65,1289.69,1223.94,1245.6,15.6,72.46,161.97,2418.4,17.28,16.81,74.6,1852,132.8,16.5,78.54,-0.01,0.069687726,116.2,114.3,-0.01,21.8,8.43,-0.07,500,0.230205383,81,34.09,132.1,28,28,16,575.19,690,689
1236,1964.658984,121,100.5,2.2,0.1,2.250258418,66.615,27.2515991,21.41,307.7,286.29,302.8,300.14,35.79,1253.1,1279.88,1271.81,1288.89,15.44,60.82,181.32,2410.3,13.82,18.56,64.81,3704,209.7,14,65.64,0.01,0.040882094,109.2,110.1,-0.01,29,8.89,1.94,29.82277107,0.150017228,68,32.38,209.3,28.1,28.1,14,686.23,780,574.8
1622,10000,764,80.9,2.1,0.1,5.799024524,79.78,100,16.3,355.82,339.52,345.83,343.85,30.25,1278.39,1308.64,1285.16,1302.7,15.29,59.49,178.49,2451.7,12.66,17.94,85.08,3704,190.5,12.5,79.78,0.07,0.386601635,109.2,110.1,0.04,28.2,8.14,-20.59,500,0.386601635,83,30.6,191.2,28.1,28,14,497.75,330,543.3
15222,4759.628212,413,100.9,0.5,0,6.597892037,77.56,100,13.03,343.03,334.96,337.01,330,65.73,1248.07,1289.6,1223.87,1241.05,15.6,72.53,160.47,2388.3,17.76,21.27,71.32,1852,135,19.5,77.56,-0.04,0.439859469,116.2,114.3,0.08,22,8.13,-4.36,500,0.439859469,80,39.03,138.2,28,28,16,880.51,210,503.9
